  00.        GENERAL
  02.70.Ns   Molecular dynamics and particle methods
  02.70.Pt   Boundary-integral methods
  02.70.Rr   General statistical methods
  02.70.Ss   Quantum Monte Carlo methods
  02.70.Tt   Justifications or modifications of Monte Carlo methods
  02.70.Uu   Applications of Monte Carlo methods
  02.70.Wz   Symbolic computation (computer algebra)
  02.90.+p   Other topics in mathematical methods in physics (restricted to new topics in section 02)
  03.        Quantum mechanics, field theories, and special relativity
  03.30.+p   Special relativity
  03.50.-z   Classical field theories
  03.50.De   Classical electromagnetism, Maxwell equations
  03.50.Kk   Other special classical field theories
  03.65.-w   Quantum mechanics
  03.65.Ca   Formalism
  03.65.Db   Functional analytical methods
  03.65.Fd   Algebraic methods
  03.65.Ge   Solutions of wave equations: bound states
  03.65.Nk   Scattering theory
  03.65.Pm   Relativistic wave equations
  03.65.Sq   Semiclassical theories and applications
  03.65.Ta   Foundations of quantum mechanics; measurement theory
  03.65.Ud   Entanglement and quantum nonlocality (e.g. EPR paradox, Bell's inequalities, GHZ states, etc.)
  03.65.Vf   Phases: geometric; dynamic or topological
  03.65.Wj   State reconstruction, quantum tomography
  03.65.Xp   Tunneling, traversal time, quantum Zeno dynamics
  03.65.Yz   Decoherence; open systems; quantum statistical methods
  03.67.-a   Quantum information
  03.67.Dd   Quantum cryptography
  03.67.Hk   Quantum communication
  03.67.Lx   Quantum computation
  03.67.Mn   Entanglement production, characterization, and manipulation
  03.67.Pp   Quantum error correction and other methods for protection against decoherence
  03.70.+k   Theory of quantized fields
  03.75.-b   Matter waves
  03.75.Be   Atom and neutron optics
  03.75.Dg   Atom and neutron interferometry
  03.75.Gg   Entanglement and decoherence in Bose-Einstein condensates
  03.75.Hh   Static properties of condensates; thermodynamical, statistical and structural properties
  03.75.Kk   Dynamic properties of condensates; collective and hydrodynamic excitations, superfluid flow
  03.75.Lm   Tunneling, Josephson effect, Bose-Einstein condensates in periodic potentials, solitons, vortices and topological excitations
  03.75.Mn   Multicomponent condensates; spinor condensates
  03.75.Nt   Other Bose-Einstein condensation phenomena
  03.75.Pp   Atom lasers
  03.75.Ss   Degenerate Fermi gases
  04.        General relativity and gravitation
  04.20.-q   Classical general relativity
  04.20.Cv   Fundamental problems and general formalism
  04.20.Dw   Singularities and cosmic censorship
  04.20.Ex   Initial value problem, existence and uniqueness of solutions
  04.20.Fy   Canonical formalism, Lagrangians, and variational principles
  04.20.Gz   Spacetime topology, causal structure, spinor structure
  04.20.Ha   Asymptotic structure
  04.20.Jb   Exact solutions
  04.25.-g   Approximation methods; equations of motion
  04.25.Dm   Numerical relativity
  04.25.Nx   Post-Newtonian approximation; perturbation theory; related approximations
  04.30.-w   Gravitational waves: theory
  04.30.Db   Wave generation and sources
  04.30.Nk   Wave propagation and interactions
  04.40.-b   Self-gravitating systems; continuous media and classical fields in curved spacetime
  04.40.Dg   Relativistic stars: structure, stability, and oscillations
  04.40.Nr   Einstein-Maxwell spacetimes, spacetimes with fluids, radiation or classical fields
  04.50.+h   Gravity in more than four dimensions, Kaluza-Klein theory, unified field theories; alternative theories of gravity
  04.60.-m   Quantum gravity
  04.60.Ds   Canonical quantization
  04.60.Gw   Covariant and sum-over-histories quantization
  04.60.Kz   Lower dimensional models; minisuperspace models
  04.60.Nc   Lattice and discrete methods
  04.60.Pp   Loop quantum gravity, quantum geometry, spin foams
  04.62.+v   Quantum field theory in curved spacetime
  04.65.+e   Supergravity
  04.70.-s   Physics of black holes
  04.70.Bw   Classical black holes
  04.70.Dy   Quantum aspects of black holes, evaporation, thermodynamics
  04.80.-y   Experimental studies of gravity
  04.80.Cc   Experimental tests of gravitational theories
  04.80.Nn   Gravitational wave detectors and experiments
  04.90.+e   Other topics in general relativity and gravitation (restricted to new topics in section 04)
  05.        Statistical physics, thermodynamics, and nonlinear dynamical systems
  05.10.-a   Computational methods in statistical physics and nonlinear dynamics
  05.10.Cc   Renormalization group methods
  05.10.Gg   Stochastic analysis methods (Fokker-Planck, Langevin, etc.)
  05.10.Ln   Monte Carlo methods
  05.20.-y   Classical statistical mechanics
  05.20.Dd   Kinetic theory
  05.20.Gg   Classical ensemble theory
  05.20.Jj   Statistical mechanics of classical fluids
  05.30.-d   Quantum statistical mechanics
  05.30.Ch   Quantum ensemble theory
  05.30.Fk   Fermion systems and electron gas
  05.30.Jp   Boson systems
  05.30.Pr   Fractional statistics systems (anyons, etc.)
  05.40.-a   Fluctuation phenomena, random processes, noise, and Brownian motion
  05.40.Ca   Noise
  05.40.Fb   Random walks and Levy flights
  05.40.Jc   Brownian motion
  05.45.-a   Nonlinear dynamics and nonlinear dynamical systems
  05.45.Ac   Low-dimensional chaos
  05.45.Df   Fractals
  05.45.Gg   Control of chaos, applications of chaos
  05.45.Jn   High-dimensional chaos
  05.45.Mt   Quantum chaos; semiclassical methods
  05.45.Pq   Numerical simulations of chaotic systems
  05.45.Ra   Coupled map lattices
  05.45.Tp   Time series analysis
  05.45.Vx   Communication using chaos
  05.45.Xt   Synchronization; coupled oscillators
  05.45.Yv   Solitons
  05.50.+q   Lattice theory and statistics (Ising, Potts, etc.)
  05.60.-k   Transport processes
  05.60.Cd   Classical transport
  05.60.Gg   Quantum transport
  05.65.+b   Self-organized systems
  05.70.-a   Thermodynamics
  05.70.Ce   Thermodynamic functions and equations of state
  05.70.Fh   Phase transitions: general studies
  05.70.Jk   Critical point phenomena
  05.70.Ln   Nonequilibrium and irreversible thermodynamics
  05.70.Np   Interface and surface thermodynamics
  05.90.+m   Other topics in statistical physics, thermodynamics, and nonlinear dynamical systems (restricted to new topics in section 05)
  06.        Metrology, measurements, and laboratory procedures
  06.20.-f   Metrology
  06.20.Dk   Measurement and error theory
  06.20.Fn   Units and standards
  06.20.Jr   Determination of fundamental constants
  06.30.-k   Measurements common to several branches of physics and astronomy
  06.30.Bp   Spatial dimensions (e.g., position, lengths, volume, angles, and displacements)
  06.30.Dr   Mass and density
  06.30.Ft   Time and frequency
  06.30.Gv   Velocity, acceleration, and rotation
  06.60.-c   Laboratory procedures
  06.60.Ei   Sample preparation (including design of sample holders)
  06.60.Jn   High-speed techniques (microsecond to femtosecond)
  06.60.Mr   Testing and inspecting procedures
  06.60.Sx   Positioning and alignment; manipulating, remote handling
  06.60.Vz   Workshop procedures (welding, machining, lubrication, bearings, etc.)
  06.60.Wa   Laboratory safety procedures
  06.90.+v   Other topics in metrology, measurements, and laboratory procedures (restricted to new topics in section 06)
  07.        Instruments, apparatus, and components common to several branches of physics and astronomy
  07.05.-t   Computers in experimental physics
  07.05.Bx   Computer systems: hardware, operating systems, computer languages, and utilities
  07.05.Dz   Control systems
  07.05.Fb   Design of experiments
  07.05.Hd   Data acquisition: hardware and software
  07.05.Kf   Data analysis: algorithms and implementation; data management
  07.05.Mh   Neural networks, fuzzy logic, artificial intelligence
  07.05.Pj   Image processing
  07.05.Rm   Data presentation and visualization: algorithms and implementation
  07.05.Tp   Computer modeling and simulation
  07.05.Wr   Computer interfaces
  07.07.-a   General equipment
  07.07.Df   Sensors (chemical, optical, electrical, movement, gas, etc.); remote sensing
  07.07.Hj   Display and recording equipment, oscilloscopes, TV cameras, etc.
  07.07.Mp   Transducers
  07.07.Tw   Servo and control equipment; robots
  07.07.Vx   Hygrometers
  07.10.-h   Mechanical instruments and equipment
  07.10.Cm   Micromechanical devices and systems
  07.10.Fq   Vibration isolation
  07.10.Lw   Balance systems, tensile machines, etc.
  07.10.Pz   Instruments for strain, force, and torque
  07.20.-n   Thermal instruments and apparatus
  07.20.Dt   Thermometers
  07.20.Fw   Calorimeters
  07.20.Hy   Furnaces; heaters
  07.20.Ka   High-temperature instrumentation; pyrometers
  07.20.Mc   Cryogenics; refrigerators, low-temperature equipment
  07.20.Pe   Heat engines; heat pumps; heat pipes
  07.30.-t   Vacuum apparatus
  07.30.Bx   Degasification, residual gas
  07.30.Cy   Vacuum pumps
  07.30.Dz   Vacuum gauges
  07.30.Hd   Vacuum testing methods; leak detectors
  07.30.Kf   Vacuum chambers, auxiliary apparatus, and materials
  07.35.+k   High-pressure apparatus; shock tubes; diamond anvil cells
  07.50.-e   Electrical and electronic instruments and components
  07.50.Ek   Circuits and circuit components
  07.50.Hp   Electrical noise and shielding equipment
  07.50.Ls   Electrometers
  07.50.Qx   Signal processing electronics
  07.55.-w   Magnetic instruments and components
  07.55.Db   Generation of magnetic fields; magnets
  07.55.Ge   Magnetometers for magnetic field measurements
  07.55.Jg   Magnetometers for susceptibility, magnetic moment, and magnetization measurements
  07.55.Nk   Magnetic shielding in instruments
  07.57.-c   Infrared, submillimeter wave, microwave and radiowave instruments and equipment
  07.57.Hm   Infrared, submillimeter wave, microwave, and radiowave sources
  07.57.Kp   Bolometers; infrared, submillimeter wave, microwave, and radiowave receivers and detectors
  07.57.Pt   Submillimeter wave, microwave and radiowave spectrometers; magnetic resonance spectrometers, auxiliary equipment, and techniques
  07.57.Ty   Infrared spectrometers, auxiliary equipment, and techniques
  07.60.-j   Optical instruments and equipment
  07.60.Dq   Photometers, radiometers, and colorimeters
  07.60.Fs   Polarimeters and ellipsometers
  07.60.Hv   Refractometers and reflectometers
  07.60.Ly   Interferometers
  07.60.Pb   Conventional optical microscopes
  07.60.Rd   Visible and ultraviolet spectrometers
  07.60.Vg   Fiber-optic instruments
  07.64.+z   Acoustic instruments and equipment
  07.68.+m   Photography, photographic instruments; xerography
  07.75.+h   Mass spectrometers
  07.77.-n   Atomic, molecular, and charged-particle sources and detectors
  07.77.Gx   Atomic and molecular beam sources and detectors
  07.77.Ka   Charged-particle beam sources and detectors
  07.78.+s   Electron, positron, and ion microscopes; electron diffractometers
  07.79.-v   Scanning probe microscopes and components
  07.79.Cz   Scanning tunneling microscopes
  07.79.Fc   Near-field scanning optical microscopes
  07.79.Lh   Atomic force microscopes
  07.79.Pk   Magnetic force microscopes
  07.79.Sp   Friction force microscopes
  07.81.+a   Electron and ion spectrometers
  07.85.-m   X- and gamma-ray instruments
  07.85.Fv   X- and gamma-ray sources, mirrors, gratings, and detectors
  07.85.Jy   Diffractometers
  07.85.Nc   X-ray and gamma-ray spectrometers
  07.85.Qe   Synchrotron radiation instrumentation
  07.85.Tt   X-ray microscopes
  07.87.+v   Spaceborne and space research instruments, apparatus, and components (satellites, space vehicles, etc.)
  07.88.+y   Instruments for environmental pollution measurements
  07.89.+b   Environmental effects on instruments (e.g., radiation and pollution effects)
  07.90.+c   Other topics in instruments, apparatus, and components common to several branches of physics and astronomy (restricted to new topics in section 07)
  10.        THE PHYSICS OF ELEMENTARY PARTICLES AND FIELDS
  11.        General theory of fields and particles
  11.10.-z   Field theory
  11.10.Cd   Axiomatic approach
  11.10.Ef   Lagrangian and Hamiltonian approach
  11.10.Gh   Renormalization
  11.10.Hi   Renormalization group evolution of parameters
  11.10.Jj   Asymptotic problems and properties
  11.10.Kk   Field theories in dimensions other than four
  11.10.Lm   Nonlinear or nonlocal theories and models
  11.10.Nx   Noncommutative field theory
  11.10.St   Bound and unstable states; Bethe-Salpeter equations
  11.10.Wx   Finite-temperature field theory
  11.15.-q   Gauge field theories
  11.15.Bt   General properties of perturbation theory
  11.15.Ex   Spontaneous breaking of gauge symmetries
  11.15.Ha   Lattice gauge theory
  11.15.Kc   Classical and semiclassical techniques
  11.15.Me   Strong-coupling expansions
  11.15.Pg   Expansions for large numbers of components (e.g., 1/Nc expansions)
  11.15.Tk   Other nonperturbative techniques
  11.25.-w   Strings and branes
  11.25.Db   Properties of perturbation theory
  11.25.Hf   Conformal field theory, algebraic structures
  11.25.Mj   Compactification and four-dimensional models
  11.25.Pm   Noncritical string theory
  11.25.Sq   Nonperturbative techniques; string field theory
  11.25.Tq   Gauge/string duality
  11.25.Uv   D branes
  11.25.Wx   String and brane phenomenology
  11.25.Yb   M theory
  11.27.+d   Extended classical solutions; cosmic strings, domain walls, texture
  11.30.-j   Symmetry and conservation laws
  11.30.Cp   Lorentz and Poincare invariance
  11.30.Er   Charge conjugation, parity, time reversal, and other discrete symmetries
  11.30.Fs   Global symmetries (e.g., baryon number, lepton number)
  11.30.Hv   Flavor symmetries
  11.30.Ly   Other internal and higher symmetries
  11.30.Na   Nonlinear and dynamical symmetries (spectrum-generating symmetries)
  11.30.Pb   Supersymmetry
  11.30.Qc   Spontaneous and radiative symmetry breaking
  11.30.Rd   Chiral symmetries
  11.40.-q   Currents and their properties
  11.40.Dw   General theory of currents
  11.40.Ex   Formal properties of current algebras
  11.40.Ha   Partially conserved axial-vector currents
  11.55.-m   S-matrix theory; analytic structure of amplitudes
  11.55.Bq   Analytic properties of S matrix
  11.55.Ds   Exact S matrices
  11.55.Fv   Dispersion relations
  11.55.Hx   Sum rules
  11.55.Jy   Regge formalism
  11.80.-m   Relativistic scattering theory
  11.80.Cr   Kinematical properties (helicity and invariant amplitudes, kinematic singularities, etc.)
  11.80.Et   Partial-wave analysis
  11.80.Fv   Approximations (eikonal approximation, variational principles, etc.)
  11.80.Gw   Multichannel scattering
  11.80.Jy   Many-body scattering and Faddeev equation
  11.80.La   Multiple scattering
  11.90.+t   Other topics in general theory of fields and particles (restricted to new topics in section 11)
  12.        Specific theories and interaction models; particle systematics
  12.10.-g   Unified field theories and models
  12.10.Dm   Unified theories and models of strong and electroweak interactions
  12.10.Kt   Unification of couplings; mass relations
  12.15.-y   Electroweak interactions
  12.15.Ff   Quark and lepton masses and mixing
  12.15.Hh   Determination of Kobayashi-Maskawa matrix elements
  12.15.Ji   Applications of electroweak models to specific processes
  12.15.Lk   Electroweak radiative corrections
  12.15.Mm   Neutral currents
  12.20.-m   Quantum electrodynamics
  12.20.Ds   Specific calculations
  12.20.Fv   Experimental tests
  12.38.-t   Quantum chromodynamics
  12.38.Aw   General properties of QCD (dynamics, confinement, etc.)
  12.38.Bx   Perturbative calculations
  12.38.Cy   Summation of perturbation theory
  12.38.Gc   Lattice QCD calculations
  12.38.Lg   Other nonperturbative calculations
  12.38.Mh   Quark-gluon plasma
  12.38.Qk   Experimental tests
  12.39.-x   Phenomenological quark models
  12.39.Ba   Bag model
  12.39.Dc   Skyrmions
  12.39.Fe   Chiral Lagrangians
  12.39.Hg   Heavy quark effective theory
  12.39.Jh   Nonrelativistic quark model
  12.39.Ki   Relativistic quark model
  12.39.Mk   Glueball and nonstandard multi-quark/gluon states
  12.39.Pn   Potential models
  12.39.St   Factorization
  12.40.-y   Other models for strong interactions
  12.40.Ee   Statistical models
  12.40.Nn   Regge theory, duality, absorptive/optical models
  12.40.Vv   Vector-meson dominance
  12.40.Yx   Hadron mass models and calculations
  12.60.-i   Models beyond the standard model
  12.60.Cn   Extensions of electroweak gauge sector
  12.60.Fr   Extensions of electroweak Higgs sector
  12.60.Jv   Supersymmetric models
  12.60.Nz   Technicolor models
  12.60.Rc   Composite models
  12.90.+b   Miscellaneous theoretical ideas and models (restricted to new topics in section 12)
  13.        Specific reactions and phenomenology
  13.15.+g   Neutrino interactions
  13.20.-v   Leptonic, semileptonic, and radiative decays of mesons
  13.20.Cz   Decays of pi mesons
  13.20.Eb   Decays of K mesons
  13.20.Fc   Decays of charmed mesons
  13.20.Gd   Decays of J/psi, Upsilon, and other quarkonia
  13.20.He   Decays of bottom mesons
  13.20.Jf   Decays of other mesons
  13.25.-k   Hadronic decays of mesons
  13.25.Cq   Decays of pi mesons
  13.25.Es   Decays of K mesons
  13.25.Ft   Decays of charmed mesons
  13.25.Gv   Decays of J/psi, Upsilon, and other quarkonia
  13.25.Hw   Decays of bottom mesons
  13.25.Jx   Decays of other mesons
  13.30.-a   Decays of baryons
  13.30.Ce   Leptonic, semileptonic, and radiative decays
  13.30.Eg   Hadronic decays
  13.35.-r   Decays of leptons
  13.35.Bv   Decays of muons
  13.35.Dx   Decays of taus
  13.35.Hb   Decays of heavy neutrinos
  13.38.-b   Decays of intermediate bosons
  13.38.Be   Decays of W bosons
  13.38.Dg   Decays of Z bosons
  13.40.-f   Electromagnetic processes and properties
  13.40.Dk   Electromagnetic mass differences
  13.40.Em   Electric and magnetic moments
  13.40.Gp   Electromagnetic form factors
  13.40.Hq   Electromagnetic decays
  13.40.Ks   Electromagnetic corrections to strong- and weak-interaction processes
  13.60.-r   Photon and charged-lepton interactions with hadrons
  13.60.Fz   Elastic and Compton scattering
  13.60.Hb   Total and inclusive cross sections (including deep-inelastic processes)
  13.60.Le   Meson production
  13.60.Rj   Baryon production
  13.66.-a   Lepton-lepton interactions
  13.66.Bc   Hadron production in e-e+ interactions
  13.66.De   Lepton production in e-e+ interactions
  13.66.Fg   Gauge and Higgs boson production in e-e+ interactions
  13.66.Hk   Production of non-standard model particles in e-e+ interactions
  13.66.Jn   Precision mesurements in e-e+ interactions
  13.66.Lm   Processes in other lepton-lepton interactions
  13.75.-n   Hadron-induced low- and intermediate-energy reactions and scattering (energy(less-than-or-equal-to)10 GeV)
  13.75.Cs   Nucleon-nucleon interactions (including antinucleons, deuterons, etc.)
  13.75.Ev   Hyperon-nucleon interactions
  13.75.Gx   Pion-baryon interactions
  13.75.Jz   Kaon-baryon interactions
  13.75.Lb   Meson-meson interactions
  13.85.-t   Hadron-induced high- and super-high-energy interactions (energy>10 GeV)
  13.85.Dz   Elastic scattering
  13.85.Fb   Inelastic scattering: two-particle final states
  13.85.Hd   Inelastic scattering: many-particle final states
  13.85.Lg   Total cross sections
  13.85.Ni   Inclusive production with identified hadrons
  13.85.Qk   Inclusive production with identified leptons, photons, or other nonhadronic particles
  13.85.Rm   Limits on production of particles
  13.85.Tp   Cosmic-ray interactions
  13.87.-a   Jets in large-Q2 scattering
  13.87.Ce   Production
  13.87.Fh   Fragmentation into hadrons
  13.88.+e   Polarization in interactions and scattering
  13.90.+i   Other topics in specific reactions and phenomenology of elementary particles (restricted to new topics in section 13)
  14.        Properties of specific particles
  14.20.-c   Baryons (including antiparticles)
  14.20.Dh   Protons and neutrons
  14.20.Gk   Baryon resonances with S=0
  14.20.Jn   Hyperons
  14.20.Lq   Charmed baryons
  14.20.Mr   Bottom baryons
  14.20.Pt   Dibaryons
  14.40.-n   Mesons
  14.40.Aq   pi, K, and eta mesons
  14.40.Cs   Other mesons with S=C=0, mass<2.5 GeV
  14.40.Ev   Other strange mesons
  14.40.Gx   Mesons with S=C=B=0, mass>2.5 GeV (including quarkonia)
  14.40.Lb   Charmed mesons
  14.40.Nd   Bottom mesons
  14.60.-z   Leptons
  14.60.Cd   Electrons (including positrons)
  14.60.Ef   Muons
  14.60.Fg   Taus
  14.60.Hi   Other charged heavy leptons
  14.60.Lm   Ordinary neutrinos (nue, numu, nutau)
  14.60.Pq   Neutrino mass and mixing
  14.60.St   Non-standard-model neutrinos, right-handed neutrinos, etc.
  14.65.-q   Quarks
  14.65.Bt   Light quarks
  14.65.Dw   Charmed quarks
  14.65.Fy   Bottom quarks
  14.65.Ha   Top quarks
  14.70.-e   Gauge bosons
  14.70.Bh   Photons
  14.70.Dj   Gluons
  14.70.Fm   W bosons
  14.70.Hp   Z bosons
  14.70.Pw   Other gauge bosons
  14.80.-j   Other particles (including hypothetical)
  14.80.Bn   Standard-model Higgs bosons
  14.80.Cp   Non-standard-model Higgs bosons
  14.80.Hv   Magnetic monopoles
  14.80.Ly   Supersymmetric partners of known particles
  14.80.Mz   Axions and other Nambu-Goldstone bosons (Majorons, familons, etc.)
  20.        NUCLEAR PHYSICS
  21.        Nuclear structure
  21.10.-k   Properties of nuclei; nuclear energy levels
  21.10.Dr   Binding energies and masses
  21.10.Ft   Charge distribution
  21.10.Gv   Mass and neutron distributions
  21.10.Hw   Spin, parity, and isobaric spin
  21.10.Jx   Spectroscopic factors
  21.10.Ky   Electromagnetic moments
  21.10.Ma   Level density
  21.10.Pc   Single-particle levels and strength functions
  21.10.Re   Collective levels
  21.10.Sf   Coulomb energies
  21.10.Tg   Lifetimes
  21.30.-x   Nuclear forces
  21.30.Cb   Nuclear forces in vacuum
  21.30.Fe   Forces in hadronic systems and effective interactions
  21.45.+v   Few-body systems
  21.60.-n   Nuclear structure models and methods
  21.60.Cs   Shell model
  21.60.Ev   Collective models
  21.60.Fw   Models based on group theory
  21.60.Gx   Cluster models
  21.60.Jz   Hartree-Fock and random-phase approximations
  21.60.Ka   Monte Carlo models
  21.65.+f   Nuclear matter
  21.80.+a   Hypernuclei
  21.90.+f   Other topics in nuclear structure (restricted to new topics in section 21)
  23.        Radioactive decay and in-beam spectroscopy
  23.20.-g   Electromagnetic transitions
  23.20.En   Angular distribution and correlation measurements
  23.20.Gq   Multipole mixing ratios
  23.20.Js   Multipole matrix elements
  23.20.Lv   gamma transitions and level energies
  23.20.Nx   Internal conversion and extranuclear effects
  23.20.Ra   Internal pair production
  23.40.-s   Beta decay; double beta decay; electron and muon capture
  23.40.Bw   Weak-interaction and lepton (including neutrino) aspects
  23.40.Hc   Relation with nuclear matrix elements and nuclear structure
  23.50.+z   Decay by proton emission
  23.60.+e   Alpha decay
  23.70.+j   Heavy-particle decay
  23.90.+w   Other topics in radioactive decay and in-beam spectroscopy (restricted to new topics in section 23)
  24.        Nuclear reactions: general
  24.10.-i   Nuclear reaction models and methods
  24.10.Cn   Many-body theory
  24.10.Eq   Coupled-channel and distorted-wave models
  24.10.Ht   Optical and diffraction models
  24.10.Jv   Relativistic models
  24.10.Lx   Monte Carlo simulations (including hadron and parton cascades and string breaking models)
  24.10.Nz   Hydrodynamic models
  24.10.Pa   Thermal and statistical models
  24.30.-v   Resonance reactions
  24.30.Cz   Giant resonances
  24.30.Gd   Other resonances
  24.50.+g   Direct reactions
  24.60.-k   Statistical theory and fluctuations
  24.60.Dr   Statistical compound-nucleus reactions
  24.60.Gv   Statistical multistep direct reactions
  24.60.Ky   Fluctuation phenomena
  24.60.Lz   Chaos in nuclear systems
  24.70.+s   Polarization phenomena in reactions
  24.75.+i   General properties of fission
  24.80.+y   Nuclear tests of fundamental interactions and symmetries
  24.85.+p   Quarks, gluons, and QCD in nuclei and nuclear processes
  24.90.+d   Other topics in nuclear reactions: general (restricted to new topics in section 24)
  25.        Nuclear reactions: specific reactions
  25.10.+s   Nuclear reactions involving few-nucleon systems
  25.20.-x   Photonuclear reactions
  25.20.Dc   Photon absorption and scattering
  25.20.Lj   Photoproduction reactions
  25.30.-c   Lepton-induced reactions
  25.30.Bf   Elastic electron scattering
  25.30.Dh   Inelastic electron scattering to specific states
  25.30.Fj   Inelastic electron scattering to continuum
  25.30.Hm   Positron scattering
  25.30.Mr   Muon scattering (including the EMC effect)
  25.30.Pt   Neutrino scattering
  25.30.Rw   Electroproduction reactions
  25.40.-h   Nucleon-induced reactions
  25.40.Cm   Elastic proton scattering
  25.40.Dn   Elastic neutron scattering
  25.40.Ep   Inelastic proton scattering
  25.40.Fq   Inelastic neutron scattering
  25.40.Hs   Transfer reactions
  25.40.Kv   Charge-exchange reactions
  25.40.Lw   Radiative capture
  25.40.Ny   Resonance reactions
  25.40.Qa   (p, pi) reactions
  25.40.Sc   Spallation reactions
  25.40.Ve   Other reactions above meson production thresholds (energies>400 MeV)
  25.43.+t   Antiproton-induced reactions
  25.45.-z   2H-induced reactions
  25.45.De   Elastic and inelastic scattering
  25.45.Hi   Transfer reactions
  25.45.Kk   Charge-exchange reactions
  25.55.-e   3H-, 3He-, and 4He-induced reactions
  25.55.Ci   Elastic and inelastic scattering
